job_title,job_url,company,company_url,rating,reviews,experience,salary,location,description,tags,posted
Sap Treasury Consultant,https://www.naukri.com/job-listings-sap-treasury-consultant-capgemini-pune-bengaluru-mumbai-all-areas-4-to-9-years-271025021369,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,3.7,49625.0,4-9 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Required Skills & Qualifications: . Bachelors or Master s degree in Finance, Accounting...",Sap Trm;Treasury Management;Treasury;Treasury Risk Management;Risk management;TDM;SAP;Management,1 day ago
Portfolio Leader (Agentforce & Data Cloud),https://www.naukri.com/job-listings-portfolio-leader-agentforce-data-cloud-salesforce-mumbai-hyderabad-pune-gurugram-bengaluru-8-to-13-years-271025502422,Salesforce,https://www.naukri.com/salesforce-jobs-careers-8981,4.0,1083.0,8-13 Yrs,,"Mumbai, Hyderabad, Pune, Gurugram, Bengaluru",". Advanced Technical Skills: Deep understanding of AI, Agentforce, and Salesforce produ...",Team management;Operational excellence;Staffing;Senior Executive;Talent management;Customer engagement;CRM;Salesforce,1 day ago
SAP Controlling Functional Consultant,https://www.naukri.com/job-listings-sap-controlling-functional-consultant-capgemini-pune-bengaluru-mumbai-all-areas-4-to-9-years-271025021418,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,3.7,49625.0,4-9 Yrs,,"Hybrid - Pune(Hinjewadi +1), Bengaluru(Bangalore Hyderabad Road ), Mumbai (All Areas)(Airoli +1)",Role & responsibilities SAP CO Functional Responsibilities:Configure and customize SAP ...,SAP CO;SAP Controlling;SAP CO module expertise;L2;Cross-Application Time Sheet;L3;Event-Based Revenue Recognition;SAP S/4HANA,1 day ago
Performance Test Engineer-Bangalore(Pan India Infosys),https://www.naukri.com/job-listings-performance-test-engineer-bangalore-pan-india-infosys-infosys-hyderabad-pune-bengaluru-3-to-6-years-171025021428,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,3.5,45575.0,3-6 Yrs,,"Hyderabad, Pune, Bengaluru","You will create requirement specifications from the business needs, define the to-be-pr...",Performance Testing;Load Runner;JMeter;Load Testing;Pan;Load;Runner;Performance,Just now
Linux- Server Management Administrator,https://www.naukri.com/job-listings-linux-server-management-administrator-ntt-data-business-solutions-hyderabad-pune-bengaluru-7-to-12-years-050325926960,NTT DATA Business Solutions,https://www.naukri.com/ntt-data-business-solutions-jobs-careers-5934,3.9,1526.0,7-12 Yrs,,"Hyderabad, Pune, Bengaluru",Working Model-5 Days Work from Office. Notice Period: 0 to 30 Days . Mode of Work: 5 da...,Linux Administration;Redhat Linux;SUSE;Server Management;Server Administration;VMware;Hyper-V;technical support,5 days ago
Automation Test Engineer- Bangalore (Pan India Infosys),https://www.naukri.com/job-listings-automation-test-engineer-bangalore-pan-india-infosys-infosys-hyderabad-pune-bengaluru-3-to-6-years-171025021293,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,3.5,45575.0,3-6 Yrs,,"Hybrid - Hyderabad, Pune, Bengaluru","You will create requirement specifications from the business needs, define the to-be-pr...",Java;Automation Testing;Selenium;Java Selenium;Selenium Java;Automation;Pan;Software testing,Just now
Automation Test Engineer- female Bangalore(Pan India Infosys),https://www.naukri.com/job-listings-automation-test-engineer-female-bangalore-pan-india-infosys-infosys-hyderabad-pune-bengaluru-3-to-6-years-171025021353,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,3.5,45575.0,3-6 Yrs,,"Hybrid - Hyderabad, Pune, Bengaluru","You will create requirement specifications from the business needs, define the to-be-pr...",Java;Automation Testing;Selenium;Selenium Java;Automation;Pan;Software testing,Just now
SAP MM Lead  Consultant,https://www.naukri.com/job-listings-sap-mm-lead-consultant-ntt-data-business-solutions-hyderabad-pune-bengaluru-8-to-12-years-161025022805,NTT DATA Business Solutions,https://www.naukri.com/ntt-data-business-solutions-jobs-careers-5934,3.9,1526.0,8-12 Yrs,,"Hyderabad, Pune, Bengaluru","Required Skills & Qualifications: . Bachelors degree in Engineering, Computer Science, ...",SAP MM;Green Field Implementations;Consultancy;MM;SAP;Consulting;Field,5 days ago
Automation Tester- Bangalore,https://www.naukri.com/job-listings-automation-tester-bangalore-infosys-hyderabad-pune-bengaluru-3-to-8-years-091025035564,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,3.5,45575.0,3-8 Yrs,,"Hybrid - Hyderabad, Pune, Bengaluru","You will create requirement specifications from the business needs, define the to-be-pr...",Java;Automation Testing;Selenium;Automation Selenium;Selenium Java;Automation;Software testing,4 days ago
Datascience/Gen AI (Infosys) Pune-Bangalore,https://www.naukri.com/job-listings-datascience-gen-ai-infosys-pune-bangalore-infosys-hyderabad-pune-bengaluru-5-to-9-years-180825018189,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,3.5,45575.0,5-9 Yrs,,"Hybrid - Hyderabad, Pune, Bengaluru","and build POCs You will create requirement specifications from the business needs, defi...",Data Science;Generative Ai;Aiml;Science;Gen;Artificial Intelligence;Data,1 day ago
Java Developer (3-5 years) Infosys (Pune/Bangalore),https://www.naukri.com/job-listings-java-developer-3-5-years-infosys-pune-bangalore-infosys-hyderabad-pune-bengaluru-3-to-5-years-081025011153,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,3.5,45575.0,3-5 Yrs,3-7 Lacs PA,"Hybrid - Hyderabad, Pune, Bengaluru","and build POCs You will create requirement specifications from the business needs, defi...",Java;Spring Boot;Hibernate;Microservices;Spring;Java Development;Boot;Development,1 day ago
Platinum Consultant - SAP SF ECP,https://www.naukri.com/job-listings-platinum-consultant-sap-sf-ecp-ntt-data-business-solutions-hyderabad-pune-bengaluru-10-to-14-years-170925023803,NTT DATA Business Solutions,https://www.naukri.com/ntt-data-business-solutions-jobs-careers-5934,3.9,1526.0,10-14 Yrs,,"Hyderabad, Pune, Bengaluru",We are currently looking for an experienced SAP SuccessFactors Employee Central Payrol...,Successfactors;Employee Central Payroll;Sf Ec;SF6;ECS;Platinum;Consulting;SAP,4 days ago
Java Lead- Bangalore (Pan India Infosys),https://www.naukri.com/job-listings-java-lead-bangalore-pan-india-infosys-infosys-hyderabad-pune-bengaluru-5-to-10-years-171025021178,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,3.5,45575.0,5-10 Yrs,,"Hybrid - Hyderabad, Pune, Bengaluru","You will create requirement specifications from the business needs, define the to-be-pr...",Java;Spring Boot;Hibernate;Spring;Microservices;Boot;Pan,Just now
Java Lead(5-9 years)Infosys-Pune/bangalore/pan india,https://www.naukri.com/job-listings-java-lead-5-9-years-infosys-pune-bangalore-pan-india-infosys-hyderabad-pune-bengaluru-5-to-9-years-181025008000,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,3.5,45575.0,5-9 Yrs,,"Hybrid - Hyderabad, Pune, Bengaluru","and build POCs You will create requirement specifications from the business needs, defi...",Java;Hibernate;Spring Boot;Microservices;Boot;Pan;Spring,1 day ago
SAP FICO Consultant(FI & CO),https://www.naukri.com/job-listings-sap-fico-consultant-fi-co-ntt-data-business-solutions-hyderabad-pune-bengaluru-8-to-12-years-161025022479,NTT DATA Business Solutions,https://www.naukri.com/ntt-data-business-solutions-jobs-careers-5934,3.9,1526.0,8-12 Yrs,,"Hyderabad, Pune, Bengaluru",Minimum 1-2 Green Field Implementations on FICO S / 4 HANA Analyze customer requirement...,SAP FICO;SAP CO;SAP FI;Co;SAP;Consulting;FICO;FI,5 days ago
