status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Python Developer,Defense Consulting Services,"New York, NY 10170",2025-10-11,"You will collaborate closely with cross-functional teams including product managers, designers, and other developers to translate business requirements into scalable and efficient code.","Remote: Hybrid work
Benefits: Dental insurance
 Health insurance
 AD&D insurance
 401(k)
 Disability insurance
 Vision insurance
 Life insurance",https://www.indeed.com/m/viewjob?jk=090d82bc9eef5711,IndeedScraperUSAEng_090d82bc9eef5711,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$64000 - $74000 yearly,TEMPORARILY_REMOTE
NEW,Software Engineer – 2026 Grad,Point72,"New York, NY 10001",2025-10-08,"Gain exposure to technologies and methodologies like AI, machine learning, big data, and cloud computing to solve complex problems. Develop and enhance software applications that support trading…",,https://www.indeed.com/m/viewjob?jk=8b8d13d8f5b780aa,IndeedScraperUSAEng_8b8d13d8f5b780aa,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$150000 - $150000 yearly,UNKNOWN
NEW,Machine Learning Engineer,Apple,"New York, NY 10007",2025-10-05,Experience writing machine learning applications and mission-critical code for production machine learning systems. Experience building machine learning models.,"Benefits: Dental insurance
 Health insurance
 Employee stock purchase plan
 RSU
 Retirement plan",https://www.indeed.com/m/viewjob?jk=c9108f8b21df16ed,IndeedScraperUSAEng_c9108f8b21df16ed,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$147400 - $272100 yearly,UNKNOWN
NEW,Machine Learning Engineer,Finch Legal,"New York, NY 10001",2025-10-12,"Your job will be to help us turn that mess into clarity by building and tuning voice agents, browser agents, OCR pipelines, and LLM-powered workflows that actually work in production.","Job types: Full-time
Benefits: Dental insurance
 Paid time off
 Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=62f9362882a02eb0,IndeedScraperUSAEng_62f9362882a02eb0,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$170000 - $250000 yearly,UNKNOWN
NEW,Machine Learning Engineer,FanDuel,"New York, NY 10018",2025-10-11,"Collaborate with data scientists to implement and optimize machine learning models for production use. 2–4 years of experience in software engineering, machine learning, or data science.","Remote: Hybrid work
Benefits: Dental insurance
 401(k)
 Commuter assistance
 Disability insurance
 401(k) matching
 Paid sick time
 Vision insurance
 Life insurance
 Paid holidays
 Health insurance
 Pet insurance
 Paid time off
Schedules: On call",https://www.indeed.com/m/viewjob?jk=bae1017a02f35217,IndeedScraperUSAEng_bae1017a02f35217,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$116000 - $152250 yearly,TEMPORARILY_REMOTE
NEW,"Software Development Engineer, Machine Learning & Biometrics",CLEAR - Corporate,"New York, NY 10019",2025-09-25,"2+ years of experience and/or formal training in computer vision, machine learning and biometrics. Leverage computer vision and machine learning to develop, deliver and enhance biometric features to…","Benefits: Health insurance
 Adoption assistance
 RSU
 401(k) matching",https://www.indeed.com/m/viewjob?jk=82cdd14c583377a7,IndeedScraperUSAEng_82cdd14c583377a7,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$150000 - $180000 yearly,UNKNOWN
NEW,Machine Learning: Natural Language Processing Engineer,Primordial Labs,"New Haven, CT 06510",2025-10-01,"As a company co-founded and led by engineers, we are focused on developer experience. We’re a distributed team of engineers, operators, and technologists focused on deploying reliable autonomy at the…","Remote: Remote
Benefits: Health insurance
 Paid time off",https://www.indeed.com/m/viewjob?jk=ee7892744aaa0af8,IndeedScraperUSAEng_ee7892744aaa0af8,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$120000 - $180000 yearly,FULLY_REMOTE
NEW,Full Python Stack Developer,Intone Networks,"New York, NY",2025-09-25,"Role: Full Python Stack Developer (Django + Angular or Flask + SQL) Location: NYC, NY (On-site) Duration: 12+ Months contract (Extendable).","Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=087a04054463498a,IndeedScraperUSAEng_087a04054463498a,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,,UNKNOWN
NEW,Machine Learning Engineer - Apple Services Engineering,Apple,"New York, NY 10007",2025-09-30,"Wonder how Apple's Media Products show relevant and rich Discovery experiences covering search, browse and recommendations for Apple's media offerings - including App Store, Apple TV, Apple Music,…","Benefits: Dental insurance
 Health insurance
 Employee stock purchase plan
 RSU
 Retirement plan",https://www.indeed.com/m/viewjob?jk=9445410c30d45676,IndeedScraperUSAEng_9445410c30d45676,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$181100 - $272100 yearly,UNKNOWN
NEW,Machine Learning Scientist,Columbia University,"New York, NY",2025-10-09,"Stay current with the ultrafast-paced nature of biomolecular machine learning. Ph.D. in computer science / machine learning, computational biology, or related quantitative fields.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=d8c201f162759c52,IndeedScraperUSAEng_d8c201f162759c52,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$155000 - $230000 yearly,UNKNOWN
NEW,AI Development Solution Engineering Specialist,Morgan Stanley,"New York, NY 10036",2025-10-03,"Strong hands-on proficiency in Python and machine learning specific libraries like numpy, opencv, scikit-learn, pandas, matplotlib, seaborn, etc. Build Proof of Concepts and example code through which…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=3b8f0c6925233194,IndeedScraperUSAEng_3b8f0c6925233194,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$120000 - $165000 yearly,UNKNOWN
NEW,Python Developer,Vibotek LLC,"Jersey City, NJ",2025-09-27,"Looking for experienced developers to join our team in Jersey City, NJ. Develop object-oriented Python software on the proprietary Quartz platform. Collaborate throughout the full software development…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ae7bb960c055287c,IndeedScraperUSAEng_ae7bb960c055287c,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,,UNKNOWN
NEW,Global Banking & Markets - Senior AI Engineer - New York,Goldman Sachs,"New York, NY 10282",2025-10-14,Collaborating effectively with colleagues to advance production machine-learning systems and applications. Contributing to boost developer productivity with Generative AI.,"Job types: Full-time
Benefits: Dental insurance, Health insurance, Adoption assistance, Travel reimbursement, Childcare, Employee assistance program, Disability insurance, Parental leave, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5c0f4d1f45189ddb,IndeedScraperUSAEng_5c0f4d1f45189ddb,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$150000 - $300000 yearly,UNKNOWN
NEW,Senior Java Developer,TP ICAP,"New York, NY 10281",2025-09-27,"Our purpose is to provide clients with access to global financial and commodities markets, improving price discovery, liquidity, and distribution of data, through responsible and innovative solutions.","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=126db3aba6ed4d22,IndeedScraperUSAEng_126db3aba6ed4d22,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$140000 - $150000 yearly,TEMPORARILY_REMOTE
NEW,Senior Java Developer,"A. Duie Pyle, Inc","West Chester, PA 19382",2025-10-16,"Provides off hours support as part of a rotation with other developers. Drives improvements in developer experience, automation, and DevOps practices. Helps in evolving areas of the SDLC.","Job types: Full-time
Benefits: Dental insurance, 401(k) matching, Vision insurance, Life insurance, Paid holidays, Health insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=74c14fe0423df695,IndeedScraperUSAEng_74c14fe0423df695,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,,UNKNOWN
NEW,Associate Machine Learning Engineer,Cadent,"Philadelphia, PA",2025-09-27,"You will be responsible for assisting in the process of scaling, deploying, and maintaining our advanced machine learning models. You will participate in code reviews and apply best practices for…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=4c2fbec9a19ddc9d,IndeedScraperUSAEng_4c2fbec9a19ddc9d,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,,UNKNOWN
NEW,Senior Java Developer,"A. Duie Pyle, Inc","West Chester, PA 19382",2025-10-16,"Provides off hours support as part of a rotation with other developers. Drives improvements in developer experience, automation, and DevOps practices. Helps in evolving areas of the SDLC.","Job types: Full-time
Benefits: Dental insurance, 401(k) matching, Vision insurance, Life insurance, Paid holidays, Health insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=6fd44f62584f1b6b,IndeedScraperUSAEng_6fd44f62584f1b6b,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,,UNKNOWN
NEW,Senior Applications Developer,Regeneron,"Tarrytown, NY",2025-09-27,"Engineer intelligent data pipelines using TypeScript, Python, and AWS that process massive genetic datasets with speed and precision. Optimize for performance at scale —craft sophisticated SQL queries…","Job types: Full-time
Benefits: Paid time off
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=7174ced5ad486436,IndeedScraperUSAEng_7174ced5ad486436,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$92500 - $151100 yearly,UNKNOWN
